WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,17.7399644851685,9.999e-05
Pontine crossing tract (a part of MCP),PCT,14.521879196167,1
Genu of corpus callosum,GCC,25.3758335113525,9.999e-05
Body of corpus callosum,BCC,16.1333293914795,1
Splenium of corpus callosum,SCC,15.372483253479,1
Fornix (column and body of fornix),FX,14.1101732254028,1
Corticospinal tract left,CST-L,14.9299058914185,1
Corticospinal tract right,CST-R,15.3559880256653,1
Medial lemniscus left,ML-L,12.0434765815735,1
Medial lemniscus right,ML-R,12.7427883148193,1
Inferior cerebellar peduncle left,ICP-L,15.9050636291504,1
Inferior cerebellar peduncle right,ICP-R,14.9919323921204,1
Superior cerebellar peduncle left,SCP-L,19.4386396408081,9.999e-05
Superior cerebellar peduncle right,SCP-R,23.9252271652222,9.999e-05
Cerebral peduncle left,CP-L,19.3086681365967,9.999e-05
Cerebral peduncle right,CP-R,19.4371099472046,9.999e-05
Anterior limb of internal capsule left,ALIC-L,19.8599624633789,9.999e-05
Anterior limb of internal capsule right,ALIC-R,11.3244857788086,1
Posterior limb of internal capsule left,PLIC-L,16.9800615310669,0.00019998
Posterior limb of internal capsule right,PLIC-R,12.121443271637,1
Retrolenticular part of internal capsule left,RLIC-L,18.0472412109375,9.999e-05
Retrolenticular part of internal capsule right,RLIC-R,12.2513885498047,1
Anterior corona radiata left,ACR-L,19.0438327789307,9.999e-05
Anterior corona radiata right,ACR-R,16.7845764160156,0.02709729
Superior corona radiata left,SCR-L,12.3862981796265,1
Superior corona radiata right,SCR-R,13.4225950241089,1
Posterior corona radiata left,PCR-L,11.1608262062073,1
Posterior corona radiata right,PCR-R,11.6122803688049,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,13.1685252189636,1
Posterior thalamic radiation (include optic radiation) right,PTR-R,13.1856579780579,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,17.3262920379639,9.999e-05
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,13.5167016983032,1
External capsule left,EC-L,14.4108295440674,1
External capsule right,EC-R,14.9628419876099,1
Cingulum (cingulate gyrus) left,CGC-L,20.6260633468628,9.999e-05
Cingulum (cingulate gyrus) right,CGC-R,13.9234418869019,1
Cingulum (hippocampus) left,CGH-L,12.7094569206238,1
Cingulum (hippocampus) right,CGH-R,14.7876472473145,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,18.1223058700562,9.999e-05
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,18.58984375,9.999e-05
Superior longitudinal fasciculus left,SLF-L,12.2641048431397,1
Superior longitudinal fasciculus right,SLF-R,17.7946815490723,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,19.8247222900391,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,16.8276348114014,0.2449755
Inferior fronto-occipital fasciculus left,IFO-L,11.3425559997559,1
Inferior fronto-occipital fasciculus right,IFO-R,16.2743453979492,0.9986001
Uncinate fasciculus left,UNC-L,15.0788826942444,1
Uncinate fasciculus right,UNC-R,16.923321723938,0.1753825
Tapatum left,TAP-L,12.7395663261414,1
Tapatum right,TAP-R,16.1768970489502,0.9862014
