WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,14.2663688659668,1
Pontine crossing tract (a part of MCP),PCT,16.9915466308594,9.999e-05
Genu of corpus callosum,GCC,14.7866592407227,1
Body of corpus callosum,BCC,14.410270690918,1
Splenium of corpus callosum,SCC,18.0217113494873,9.999e-05
Fornix (column and body of fornix),FX,14.260931968689,1
Corticospinal tract left,CST-L,13.3069753646851,1
Corticospinal tract right,CST-R,19.1340265274048,9.999e-05
Medial lemniscus left,ML-L,13.7191367149353,1
Medial lemniscus right,ML-R,13.1720361709595,1
Inferior cerebellar peduncle left,ICP-L,14.7215304374695,1
Inferior cerebellar peduncle right,ICP-R,10.4881052970886,1
Superior cerebellar peduncle left,SCP-L,22.7973880767822,9.999e-05
Superior cerebellar peduncle right,SCP-R,19.293927192688,9.999e-05
Cerebral peduncle left,CP-L,18.0731048583984,9.999e-05
Cerebral peduncle right,CP-R,17.3866596221924,9.999e-05
Anterior limb of internal capsule left,ALIC-L,17.2419757843018,9.999e-05
Anterior limb of internal capsule right,ALIC-R,19.7652940750122,9.999e-05
Posterior limb of internal capsule left,PLIC-L,13.4963188171387,1
Posterior limb of internal capsule right,PLIC-R,14.3764777183533,1
Retrolenticular part of internal capsule left,RLIC-L,20.9628238677979,9.999e-05
Retrolenticular part of internal capsule right,RLIC-R,20.3456840515137,9.999e-05
Anterior corona radiata left,ACR-L,14.3668985366821,1
Anterior corona radiata right,ACR-R,16.687479019165,9.999e-05
Superior corona radiata left,SCR-L,12.9821701049805,1
Superior corona radiata right,SCR-R,16.5601263046265,9.999e-05
Posterior corona radiata left,PCR-L,10.518660068512,1
Posterior corona radiata right,PCR-R,16.0559577941895,0.8742126
Posterior thalamic radiation (include optic radiation) left,PTR-L,11.780725479126,1
Posterior thalamic radiation (include optic radiation) right,PTR-R,14.803861618042,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,18.8827724456787,9.999e-05
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,26.0527000427246,9.999e-05
External capsule left,EC-L,12.8939175605774,1
External capsule right,EC-R,14.9215111732483,1
Cingulum (cingulate gyrus) left,CGC-L,11.7342963218689,1
Cingulum (cingulate gyrus) right,CGC-R,11.4015245437622,1
Cingulum (hippocampus) left,CGH-L,12.4318842887878,1
Cingulum (hippocampus) right,CGH-R,18.6426486968994,9.999e-05
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,13.3523459434509,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,15.7199354171753,0.9957004
Superior longitudinal fasciculus left,SLF-L,15.0505418777466,1
Superior longitudinal fasciculus right,SLF-R,19.7529239654541,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,16.5037937164307,0.08819118
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,18.8408126831055,9.999e-05
Inferior fronto-occipital fasciculus left,IFO-L,15.6512880325317,0.9999
Inferior fronto-occipital fasciculus right,IFO-R,16.5486145019531,0.00109989
Uncinate fasciculus left,UNC-L,22.8148345947266,9.999e-05
Uncinate fasciculus right,UNC-R,19.0807361602783,9.999e-05
Tapatum left,TAP-L,11.8603487014771,1
Tapatum right,TAP-R,16.9376726150513,0.0009999
