WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,21.3289909362793,9.999e-05
Pontine crossing tract (a part of MCP),PCT,19.6602954864502,9.999e-05
Genu of corpus callosum,GCC,21.2523727416992,9.999e-05
Body of corpus callosum,BCC,14.1727352142334,1
Splenium of corpus callosum,SCC,13.273681640625,1
Fornix (column and body of fornix),FX,12.8746433258057,1
Corticospinal tract left,CST-L,21.0772399902344,9.999e-05
Corticospinal tract right,CST-R,19.0590190887451,9.999e-05
Medial lemniscus left,ML-L,22.0051651000977,9.999e-05
Medial lemniscus right,ML-R,19.8430404663086,9.999e-05
Inferior cerebellar peduncle left,ICP-L,15.7706604003906,1
Inferior cerebellar peduncle right,ICP-R,16.7648601531982,0.9999
Superior cerebellar peduncle left,SCP-L,22.0515756607056,9.999e-05
Superior cerebellar peduncle right,SCP-R,20.3691759109497,9.999e-05
Cerebral peduncle left,CP-L,21.0405988693237,9.999e-05
Cerebral peduncle right,CP-R,25.9480028152466,9.999e-05
Anterior limb of internal capsule left,ALIC-L,12.4630227088928,1
Anterior limb of internal capsule right,ALIC-R,21.5692005157471,9.999e-05
Posterior limb of internal capsule left,PLIC-L,24.532901763916,9.999e-05
Posterior limb of internal capsule right,PLIC-R,14.9959373474121,1
Retrolenticular part of internal capsule left,RLIC-L,16.1448783874512,1
Retrolenticular part of internal capsule right,RLIC-R,20.7379398345947,9.999e-05
Anterior corona radiata left,ACR-L,16.0224304199219,1
Anterior corona radiata right,ACR-R,20.7421140670776,9.999e-05
Superior corona radiata left,SCR-L,17.6331310272217,0.6946305
Superior corona radiata right,SCR-R,16.8201150894165,1
Posterior corona radiata left,PCR-L,10.6623730659485,1
Posterior corona radiata right,PCR-R,9.95509958267212,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,9.88414669036865,1
Posterior thalamic radiation (include optic radiation) right,PTR-R,12.527792930603,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,19.3802089691162,9.999e-05
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,19.685209274292,9.999e-05
External capsule left,EC-L,27.4819555282593,9.999e-05
External capsule right,EC-R,11.6918287277222,1
Cingulum (cingulate gyrus) left,CGC-L,15.96067237854,1
Cingulum (cingulate gyrus) right,CGC-R,12.8753128051758,1
Cingulum (hippocampus) left,CGH-L,13.4427218437195,1
Cingulum (hippocampus) right,CGH-R,16.2580127716064,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,20.1426458358765,9.999e-05
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,19.4221096038818,9.999e-05
Superior longitudinal fasciculus left,SLF-L,12.2555112838745,1
Superior longitudinal fasciculus right,SLF-R,14.511492729187,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,16.229793548584,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,30.7137413024902,9.999e-05
Inferior fronto-occipital fasciculus left,IFO-L,30.6215400695801,9.999e-05
Inferior fronto-occipital fasciculus right,IFO-R,14.3643732070923,1
Uncinate fasciculus left,UNC-L,27.9458627700806,9.999e-05
Uncinate fasciculus right,UNC-R,18.509747505188,0.00959904
Tapatum left,TAP-L,12.7539172172546,1
Tapatum right,TAP-R,12.9188170433044,1
