WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,16.9979200363159,1
Pontine crossing tract (a part of MCP),PCT,19.4383134841919,0.01949805
Genu of corpus callosum,GCC,28.6263904571533,9.999e-05
Body of corpus callosum,BCC,15.9170475006104,1
Splenium of corpus callosum,SCC,14.0092725753784,1
Fornix (column and body of fornix),FX,12.3561859130859,1
Corticospinal tract left,CST-L,18.063458442688,1
Corticospinal tract right,CST-R,21.2006254196167,9.999e-05
Medial lemniscus left,ML-L,16.4595165252686,1
Medial lemniscus right,ML-R,15.7310094833374,1
Inferior cerebellar peduncle left,ICP-L,12.8118181228638,1
Inferior cerebellar peduncle right,ICP-R,12.1008553504944,1
Superior cerebellar peduncle left,SCP-L,15.8066229820251,1
Superior cerebellar peduncle right,SCP-R,14.9845533370972,1
Cerebral peduncle left,CP-L,19.5882596969605,0.00029997
Cerebral peduncle right,CP-R,17.7575750350952,1
Anterior limb of internal capsule left,ALIC-L,11.9059691429138,1
Anterior limb of internal capsule right,ALIC-R,16.3002147674561,1
Posterior limb of internal capsule left,PLIC-L,25.9429121017456,9.999e-05
Posterior limb of internal capsule right,PLIC-R,26.6607294082642,9.999e-05
Retrolenticular part of internal capsule left,RLIC-L,22.7384433746338,9.999e-05
Retrolenticular part of internal capsule right,RLIC-R,18.8619213104248,0.8826117
Anterior corona radiata left,ACR-L,22.2996234893799,9.999e-05
Anterior corona radiata right,ACR-R,24.4759473800659,9.999e-05
Superior corona radiata left,SCR-L,13.7961993217468,1
Superior corona radiata right,SCR-R,22.2591667175293,9.999e-05
Posterior corona radiata left,PCR-L,12.8601450920105,1
Posterior corona radiata right,PCR-R,11.3316941261292,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,17.8519945144653,1
Posterior thalamic radiation (include optic radiation) right,PTR-R,11.3715319633484,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,19.7687511444092,9.999e-05
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,25.9308815002441,9.999e-05
External capsule left,EC-L,14.6039290428162,1
External capsule right,EC-R,23.7558279037476,9.999e-05
Cingulum (cingulate gyrus) left,CGC-L,14.8493709564209,1
Cingulum (cingulate gyrus) right,CGC-R,21.7422523498535,9.999e-05
Cingulum (hippocampus) left,CGH-L,11.5879034996033,1
Cingulum (hippocampus) right,CGH-R,15.0521411895752,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,16.6761379241943,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,25.5787353515625,9.999e-05
Superior longitudinal fasciculus left,SLF-L,15.4444456100464,1
Superior longitudinal fasciculus right,SLF-R,14.6743459701538,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,8.14393424987793,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,22.349925994873,9.999e-05
Inferior fronto-occipital fasciculus left,IFO-L,21.0780220031738,9.999e-05
Inferior fronto-occipital fasciculus right,IFO-R,22.8649063110352,9.999e-05
Uncinate fasciculus left,UNC-L,15.4171586036682,1
Uncinate fasciculus right,UNC-R,35.1943016052246,9.999e-05
Tapatum left,TAP-L,14.6325788497925,1
Tapatum right,TAP-R,13.6885657310486,1
