WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,18.900032043457,1
Pontine crossing tract (a part of MCP),PCT,30.386866569519,9.999e-05
Genu of corpus callosum,GCC,20.9036121368408,9.999e-05
Body of corpus callosum,BCC,14.3929996490479,1
Splenium of corpus callosum,SCC,15.6564207077026,1
Fornix (column and body of fornix),FX,14.5062303543091,1
Corticospinal tract left,CST-L,29.6004247665405,9.999e-05
Corticospinal tract right,CST-R,26.5974941253662,9.999e-05
Medial lemniscus left,ML-L,35.5188007354736,9.999e-05
Medial lemniscus right,ML-R,34.7368392944336,9.999e-05
Inferior cerebellar peduncle left,ICP-L,18.1797904968262,1
Inferior cerebellar peduncle right,ICP-R,20.527515411377,9.999e-05
Superior cerebellar peduncle left,SCP-L,20.9834022521973,9.999e-05
Superior cerebellar peduncle right,SCP-R,20.319408416748,9.999e-05
Cerebral peduncle left,CP-L,26.376805305481,9.999e-05
Cerebral peduncle right,CP-R,25.4220638275147,9.999e-05
Anterior limb of internal capsule left,ALIC-L,23.3201894760132,9.999e-05
Anterior limb of internal capsule right,ALIC-R,13.7525925636292,1
Posterior limb of internal capsule left,PLIC-L,29.0873136520386,9.999e-05
Posterior limb of internal capsule right,PLIC-R,26.9666357040405,9.999e-05
Retrolenticular part of internal capsule left,RLIC-L,18.2566223144531,1
Retrolenticular part of internal capsule right,RLIC-R,25.1081314086914,9.999e-05
Anterior corona radiata left,ACR-L,20.8019905090332,9.999e-05
Anterior corona radiata right,ACR-R,20.5845050811768,9.999e-05
Superior corona radiata left,SCR-L,21.3135204315186,9.999e-05
Superior corona radiata right,SCR-R,18.0656938552856,1
Posterior corona radiata left,PCR-L,16.7839860916138,1
Posterior corona radiata right,PCR-R,18.2606563568115,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,12.8431830406189,1
Posterior thalamic radiation (include optic radiation) right,PTR-R,14.0111131668091,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,17.0043315887451,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,21.038143157959,9.999e-05
External capsule left,EC-L,16.012843132019,1
External capsule right,EC-R,16.2766427993774,1
Cingulum (cingulate gyrus) left,CGC-L,12.4417543411255,1
Cingulum (cingulate gyrus) right,CGC-R,15.6718683242798,1
Cingulum (hippocampus) left,CGH-L,12.4934344291687,1
Cingulum (hippocampus) right,CGH-R,10.8740034103394,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,16.8521556854248,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,22.3959693908691,9.999e-05
Superior longitudinal fasciculus left,SLF-L,18.2797565460205,1
Superior longitudinal fasciculus right,SLF-R,15.3801040649414,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,22.6856441497803,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,16.4326915740967,1
Inferior fronto-occipital fasciculus left,IFO-L,19.1898956298828,0.6050395
Inferior fronto-occipital fasciculus right,IFO-R,21.9347438812256,9.999e-05
Uncinate fasciculus left,UNC-L,34.8097953796387,9.999e-05
Uncinate fasciculus right,UNC-R,23.3945331573486,9.999e-05
Tapatum left,TAP-L,17.5709009170532,1
Tapatum right,TAP-R,16.5632953643799,1
