WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,13.6417717933655,1
Pontine crossing tract (a part of MCP),PCT,13.3159494400024,1
Genu of corpus callosum,GCC,23.2623805999756,9.999e-05
Body of corpus callosum,BCC,15.0047464370728,1
Splenium of corpus callosum,SCC,16.5469188690186,9.999e-05
Fornix (column and body of fornix),FX,12.7702131271362,1
Corticospinal tract left,CST-L,17.3395872116089,9.999e-05
Corticospinal tract right,CST-R,15.4981822967529,0.9998
Medial lemniscus left,ML-L,16.4822187423706,0.04289571
Medial lemniscus right,ML-R,15.3579587936401,0.9995
Inferior cerebellar peduncle left,ICP-L,11.6118388175964,1
Inferior cerebellar peduncle right,ICP-R,13.4846324920654,1
Superior cerebellar peduncle left,SCP-L,17.6317596435547,9.999e-05
Superior cerebellar peduncle right,SCP-R,19.1850242614746,9.999e-05
Cerebral peduncle left,CP-L,16.0428924560547,0.670233
Cerebral peduncle right,CP-R,31.5001907348633,9.999e-05
Anterior limb of internal capsule left,ALIC-L,13.6647877693176,1
Anterior limb of internal capsule right,ALIC-R,13.7686424255371,1
Posterior limb of internal capsule left,PLIC-L,14.4218635559082,1
Posterior limb of internal capsule right,PLIC-R,22.0542812347412,9.999e-05
Retrolenticular part of internal capsule left,RLIC-L,14.0083198547363,1
Retrolenticular part of internal capsule right,RLIC-R,16.4509162902832,0.00119988
Anterior corona radiata left,ACR-L,16.0163822174072,0.8711129
Anterior corona radiata right,ACR-R,16.6453447341919,9.999e-05
Superior corona radiata left,SCR-L,13.7480263710022,1
Superior corona radiata right,SCR-R,14.3297972679138,1
Posterior corona radiata left,PCR-L,9.50149726867676,1
Posterior corona radiata right,PCR-R,10.3504791259766,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,14.37970495224,1
Posterior thalamic radiation (include optic radiation) right,PTR-R,11.6237630844116,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,14.665732383728,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,16.1419639587402,0.3620638
External capsule left,EC-L,11.4474563598633,1
External capsule right,EC-R,14.6123242378235,1
Cingulum (cingulate gyrus) left,CGC-L,13.3758153915405,1
Cingulum (cingulate gyrus) right,CGC-R,14.3141946792603,1
Cingulum (hippocampus) left,CGH-L,13.6805109977722,1
Cingulum (hippocampus) right,CGH-R,9.80518054962158,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,19.8296689987183,9.999e-05
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,12.5119209289551,1
Superior longitudinal fasciculus left,SLF-L,13.3424520492554,1
Superior longitudinal fasciculus right,SLF-R,17.3956737518311,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,17.2615966796875,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,15.4768924713135,0.9906009
Inferior fronto-occipital fasciculus left,IFO-L,11.0660810470581,1
Inferior fronto-occipital fasciculus right,IFO-R,22.7747707366943,9.999e-05
Uncinate fasciculus left,UNC-L,10.4339685440063,1
Uncinate fasciculus right,UNC-R,25.1567840576172,9.999e-05
Tapatum left,TAP-L,14.6159172058106,1
Tapatum right,TAP-R,13.5305461883545,1
