WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,13.0743060112,1
Pontine crossing tract (a part of MCP),PCT,18.1171398162842,9.999e-05
Genu of corpus callosum,GCC,21.9687519073486,9.999e-05
Body of corpus callosum,BCC,17.0560760498047,9.999e-05
Splenium of corpus callosum,SCC,16.7496070861816,9.999e-05
Fornix (column and body of fornix),FX,14.7505254745483,1
Corticospinal tract left,CST-L,15.0548114776611,1
Corticospinal tract right,CST-R,15.07683801651,1
Medial lemniscus left,ML-L,19.2094535827637,9.999e-05
Medial lemniscus right,ML-R,18.4300365447998,9.999e-05
Inferior cerebellar peduncle left,ICP-L,15.9329180717468,0.9994001
Inferior cerebellar peduncle right,ICP-R,13.2646422386169,1
Superior cerebellar peduncle left,SCP-L,17.9875841140747,9.999e-05
Superior cerebellar peduncle right,SCP-R,22.6366586685181,9.999e-05
Cerebral peduncle left,CP-L,13.9927000999451,1
Cerebral peduncle right,CP-R,19.9685955047607,9.999e-05
Anterior limb of internal capsule left,ALIC-L,15.7106857299805,1
Anterior limb of internal capsule right,ALIC-R,20.9421949386597,9.999e-05
Posterior limb of internal capsule left,PLIC-L,18.6983060836792,9.999e-05
Posterior limb of internal capsule right,PLIC-R,18.2083206176758,9.999e-05
Retrolenticular part of internal capsule left,RLIC-L,22.6289749145508,9.999e-05
Retrolenticular part of internal capsule right,RLIC-R,18.6520977020264,9.999e-05
Anterior corona radiata left,ACR-L,12.0317859649658,1
Anterior corona radiata right,ACR-R,11.7487945556641,1
Superior corona radiata left,SCR-L,17.2558431625366,9.999e-05
Superior corona radiata right,SCR-R,11.8122916221619,1
Posterior corona radiata left,PCR-L,14.3254017829895,1
Posterior corona radiata right,PCR-R,13.9102792739868,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,15.4200825691223,1
Posterior thalamic radiation (include optic radiation) right,PTR-R,11.0104990005493,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,17.5242137908936,9.999e-05
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,18.9138507843018,9.999e-05
External capsule left,EC-L,18.0883359909058,9.999e-05
External capsule right,EC-R,15.3292722702026,1
Cingulum (cingulate gyrus) left,CGC-L,20.644229888916,9.999e-05
Cingulum (cingulate gyrus) right,CGC-R,17.0869007110596,9.999e-05
Cingulum (hippocampus) left,CGH-L,19.2381429672241,9.999e-05
Cingulum (hippocampus) right,CGH-R,17.9072227478027,9.999e-05
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,12.2992987632751,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,14.7223491668701,1
Superior longitudinal fasciculus left,SLF-L,15.3509292602539,1
Superior longitudinal fasciculus right,SLF-R,10.4390888214111,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,14.9337539672852,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,15.1989860534668,1
Inferior fronto-occipital fasciculus left,IFO-L,14.5223073959351,1
Inferior fronto-occipital fasciculus right,IFO-R,18.2490291595459,9.999e-05
Uncinate fasciculus left,UNC-L,16.4189939498901,0.6392361
Uncinate fasciculus right,UNC-R,26.3705415725708,9.999e-05
Tapatum left,TAP-L,14.055082321167,1
Tapatum right,TAP-R,21.2984666824341,9.999e-05
