WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,19.0890264511108,9.999e-05
Pontine crossing tract (a part of MCP),PCT,15.7709670066834,1
Genu of corpus callosum,GCC,18.3255176544189,9.999e-05
Body of corpus callosum,BCC,14.8046102523804,1
Splenium of corpus callosum,SCC,15.4121236801147,1
Fornix (column and body of fornix),FX,26.2115497589111,9.999e-05
Corticospinal tract left,CST-L,19.0947046279907,9.999e-05
Corticospinal tract right,CST-R,16.3103437423706,1
Medial lemniscus left,ML-L,19.7867908477783,9.999e-05
Medial lemniscus right,ML-R,15.6753187179565,1
Inferior cerebellar peduncle left,ICP-L,16.7850399017334,0.809919
Inferior cerebellar peduncle right,ICP-R,11.3022465705872,1
Superior cerebellar peduncle left,SCP-L,19.2702283859253,9.999e-05
Superior cerebellar peduncle right,SCP-R,20.9257621765137,9.999e-05
Cerebral peduncle left,CP-L,24.9338979721069,9.999e-05
Cerebral peduncle right,CP-R,13.2661080360413,1
Anterior limb of internal capsule left,ALIC-L,12.3429217338562,1
Anterior limb of internal capsule right,ALIC-R,19.1868457794189,9.999e-05
Posterior limb of internal capsule left,PLIC-L,14.2251739501953,1
Posterior limb of internal capsule right,PLIC-R,15.8040747642517,1
Retrolenticular part of internal capsule left,RLIC-L,19.4014511108398,9.999e-05
Retrolenticular part of internal capsule right,RLIC-R,21.6812572479248,9.999e-05
Anterior corona radiata left,ACR-L,12.5064735412598,1
Anterior corona radiata right,ACR-R,16.0334758758545,1
Superior corona radiata left,SCR-L,15.3032579421997,1
Superior corona radiata right,SCR-R,18.1238803863525,9.999e-05
Posterior corona radiata left,PCR-L,12.5021424293518,1
Posterior corona radiata right,PCR-R,12.0059752464294,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,14.3538131713867,1
Posterior thalamic radiation (include optic radiation) right,PTR-R,14.7256922721863,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,20.1602354049683,9.999e-05
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,17.7200622558594,9.999e-05
External capsule left,EC-L,15.3672318458557,1
External capsule right,EC-R,13.4499449729919,1
Cingulum (cingulate gyrus) left,CGC-L,21.5687103271484,9.999e-05
Cingulum (cingulate gyrus) right,CGC-R,15.8047466278076,1
Cingulum (hippocampus) left,CGH-L,16.4003705978394,0.9999
Cingulum (hippocampus) right,CGH-R,14.3810882568359,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,22.7048959732056,9.999e-05
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,19.8496360778809,9.999e-05
Superior longitudinal fasciculus left,SLF-L,17.8871746063232,9.999e-05
Superior longitudinal fasciculus right,SLF-R,15.4339208602905,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,10.473560333252,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,21.7650852203369,9.999e-05
Inferior fronto-occipital fasciculus left,IFO-L,16.3283843994141,1
Inferior fronto-occipital fasciculus right,IFO-R,11.7769327163696,1
Uncinate fasciculus left,UNC-L,19.2804670333862,9.999e-05
Uncinate fasciculus right,UNC-R,11.1737685203552,1
Tapatum left,TAP-L,20.9747037887573,9.999e-05
Tapatum right,TAP-R,15.7406339645386,1
