WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,17.3606567382813,9.999e-05
Pontine crossing tract (a part of MCP),PCT,12.9078979492188,1
Genu of corpus callosum,GCC,24.2624244689941,9.999e-05
Body of corpus callosum,BCC,16.0805015563965,1
Splenium of corpus callosum,SCC,14.6960592269897,1
Fornix (column and body of fornix),FX,13.3467245101929,1
Corticospinal tract left,CST-L,10.9862456321716,1
Corticospinal tract right,CST-R,13.051634311676,1
Medial lemniscus left,ML-L,12.0720219612122,1
Medial lemniscus right,ML-R,12.5661592483521,1
Inferior cerebellar peduncle left,ICP-L,15.2025203704834,1
Inferior cerebellar peduncle right,ICP-R,18.6487054824829,9.999e-05
Superior cerebellar peduncle left,SCP-L,18.2862586975098,9.999e-05
Superior cerebellar peduncle right,SCP-R,16.4532270431519,0.9978002
Cerebral peduncle left,CP-L,17.4107389450073,0.00019998
Cerebral peduncle right,CP-R,16.0314817428589,1
Anterior limb of internal capsule left,ALIC-L,9.56693887710571,1
Anterior limb of internal capsule right,ALIC-R,15.7083706855774,1
Posterior limb of internal capsule left,PLIC-L,9.99141311645508,1
Posterior limb of internal capsule right,PLIC-R,21.1126880645752,9.999e-05
Retrolenticular part of internal capsule left,RLIC-L,11.914680480957,1
Retrolenticular part of internal capsule right,RLIC-R,19.7412567138672,9.999e-05
Anterior corona radiata left,ACR-L,12.7803163528442,1
Anterior corona radiata right,ACR-R,19.8321952819824,9.999e-05
Superior corona radiata left,SCR-L,14.946014881134,1
Superior corona radiata right,SCR-R,18.8225259780884,9.999e-05
Posterior corona radiata left,PCR-L,19.6116666793823,9.999e-05
Posterior corona radiata right,PCR-R,17.9969701766968,9.999e-05
Posterior thalamic radiation (include optic radiation) left,PTR-L,17.5538358688355,9.999e-05
Posterior thalamic radiation (include optic radiation) right,PTR-R,16.1782913208008,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,17.8698816299439,9.999e-05
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,16.7313976287842,0.9776022
External capsule left,EC-L,9.02298498153686,1
External capsule right,EC-R,15.1969594955444,1
Cingulum (cingulate gyrus) left,CGC-L,15.479998588562,1
Cingulum (cingulate gyrus) right,CGC-R,10.0402784347534,1
Cingulum (hippocampus) left,CGH-L,16.6566286087036,0.9710029
Cingulum (hippocampus) right,CGH-R,15.0822124481201,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,17.5282421112061,0.00079992
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,22.3703155517578,9.999e-05
Superior longitudinal fasciculus left,SLF-L,14.9790935516357,1
Superior longitudinal fasciculus right,SLF-R,19.6842765808105,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,9.12985897064209,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,15.797981262207,1
Inferior fronto-occipital fasciculus left,IFO-L,13.2404289245605,1
Inferior fronto-occipital fasciculus right,IFO-R,16.1152744293213,1
Uncinate fasciculus left,UNC-L,18.4034156799316,9.999e-05
Uncinate fasciculus right,UNC-R,24.7712163925171,9.999e-05
Tapatum left,TAP-L,18.9087724685669,9.999e-05
Tapatum right,TAP-R,17.381609916687,0.0469953
