WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,13.6541604995728,1
Pontine crossing tract (a part of MCP),PCT,15.0706067085266,1
Genu of corpus callosum,GCC,19.7470779418945,9.999e-05
Body of corpus callosum,BCC,13.8987951278687,1
Splenium of corpus callosum,SCC,14.6278533935547,1
Fornix (column and body of fornix),FX,16.2079677581787,1
Corticospinal tract left,CST-L,14.4383425712585,1
Corticospinal tract right,CST-R,13.8831567764282,1
Medial lemniscus left,ML-L,17.7918395996094,0.9775022
Medial lemniscus right,ML-R,11.024600982666,1
Inferior cerebellar peduncle left,ICP-L,17.7918577194214,0.9922008
Inferior cerebellar peduncle right,ICP-R,15.2060523033142,1
Superior cerebellar peduncle left,SCP-L,22.8267946243286,9.999e-05
Superior cerebellar peduncle right,SCP-R,17.4179582595825,1
Cerebral peduncle left,CP-L,15.4395289421082,1
Cerebral peduncle right,CP-R,16.7257385253906,1
Anterior limb of internal capsule left,ALIC-L,21.5832252502441,9.999e-05
Anterior limb of internal capsule right,ALIC-R,24.2661838531494,9.999e-05
Posterior limb of internal capsule left,PLIC-L,15.5459589958191,1
Posterior limb of internal capsule right,PLIC-R,17.3513193130493,1
Retrolenticular part of internal capsule left,RLIC-L,17.7195701599121,1
Retrolenticular part of internal capsule right,RLIC-R,17.7024536132813,1
Anterior corona radiata left,ACR-L,25.0620079040527,9.999e-05
Anterior corona radiata right,ACR-R,22.9822120666504,9.999e-05
Superior corona radiata left,SCR-L,23.5802450180054,9.999e-05
Superior corona radiata right,SCR-R,21.2996168136597,9.999e-05
Posterior corona radiata left,PCR-L,18.3861312866211,0.1913809
Posterior corona radiata right,PCR-R,16.1976976394653,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,16.6790418624878,1
Posterior thalamic radiation (include optic radiation) right,PTR-R,12.4481592178345,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,17.8699321746826,0.9991001
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,15.86097240448,1
External capsule left,EC-L,17.7661046981812,1
External capsule right,EC-R,19.3845710754395,9.999e-05
Cingulum (cingulate gyrus) left,CGC-L,12.4844584465027,0.00873
Cingulum (cingulate gyrus) right,CGC-R,13.7395763397217,1
Cingulum (hippocampus) left,CGH-L,13.9876074790955,1
Cingulum (hippocampus) right,CGH-R,11.7914295196533,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,14.1558523178101,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,18.3355979919434,0.4071593
Superior longitudinal fasciculus left,SLF-L,18.7590713500977,9.999e-05
Superior longitudinal fasciculus right,SLF-R,20.9849681854248,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,22.1918811798096,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,16.4439144134522,1
Inferior fronto-occipital fasciculus left,IFO-L,12.3969964981079,1
Inferior fronto-occipital fasciculus right,IFO-R,17.6752948760986,1
Uncinate fasciculus left,UNC-L,18.2042541503906,0.6051395
Uncinate fasciculus right,UNC-R,15.4100346565247,1
Tapatum left,TAP-L,19.1313772201538,0.00169983
Tapatum right,TAP-R,12.7914481163025,1
