WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,23.0137271881104,9.999e-05
Pontine crossing tract (a part of MCP),PCT,16.7894601821899,1
Genu of corpus callosum,GCC,23.4042854309082,9.999e-05
Body of corpus callosum,BCC,15.2911701202393,1
Splenium of corpus callosum,SCC,15.089337348938,1
Fornix (column and body of fornix),FX,18.3215713500977,0.8609139
Corticospinal tract left,CST-L,17.0207033157349,1
Corticospinal tract right,CST-R,13.5699048042297,1
Medial lemniscus left,ML-L,15.1780557632446,1
Medial lemniscus right,ML-R,19.5912208557129,0.00019998
Inferior cerebellar peduncle left,ICP-L,17.0400886535645,1
Inferior cerebellar peduncle right,ICP-R,15.9927973747253,1
Superior cerebellar peduncle left,SCP-L,21.5638637542725,9.999e-05
Superior cerebellar peduncle right,SCP-R,20.9578418731689,9.999e-05
Cerebral peduncle left,CP-L,26.2075662612915,9.999e-05
Cerebral peduncle right,CP-R,25.8059415817261,9.999e-05
Anterior limb of internal capsule left,ALIC-L,19.9194917678833,9.999e-05
Anterior limb of internal capsule right,ALIC-R,21.983624458313,9.999e-05
Posterior limb of internal capsule left,PLIC-L,13.8078465461731,1
Posterior limb of internal capsule right,PLIC-R,22.4546060562134,9.999e-05
Retrolenticular part of internal capsule left,RLIC-L,19.8280391693115,9.999e-05
Retrolenticular part of internal capsule right,RLIC-R,23.9662132263184,9.999e-05
Anterior corona radiata left,ACR-L,18.1728229522705,1
Anterior corona radiata right,ACR-R,15.5695586204529,1
Superior corona radiata left,SCR-L,13.8355875015259,1
Superior corona radiata right,SCR-R,17.8154449462891,1
Posterior corona radiata left,PCR-L,13.427182674408,1
Posterior corona radiata right,PCR-R,11.3073945045471,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,19.3718519210815,9.999e-05
Posterior thalamic radiation (include optic radiation) right,PTR-R,15.8640360832214,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,15.9351148605347,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,24.6362628936768,9.999e-05
External capsule left,EC-L,12.330472946167,1
External capsule right,EC-R,17.9466876983643,1
Cingulum (cingulate gyrus) left,CGC-L,19.159725189209,9.999e-05
Cingulum (cingulate gyrus) right,CGC-R,15.1762495040894,1
Cingulum (hippocampus) left,CGH-L,22.1323394775391,9.999e-05
Cingulum (hippocampus) right,CGH-R,17.3018474578857,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,31.3933267593384,9.999e-05
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,19.416955947876,9.999e-05
Superior longitudinal fasciculus left,SLF-L,15.7209606170654,1
Superior longitudinal fasciculus right,SLF-R,19.5007305145264,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,14.2211465835571,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,16.1913051605225,1
Inferior fronto-occipital fasciculus left,IFO-L,16.0329780578613,1
Inferior fronto-occipital fasciculus right,IFO-R,19.8962154388428,9.999e-05
Uncinate fasciculus left,UNC-L,19.4587144851685,0.00809919
Uncinate fasciculus right,UNC-R,21.7826766967773,9.999e-05
Tapatum left,TAP-L,12.8498463630676,1
Tapatum right,TAP-R,14.0105781555176,1
