WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,16.8998394012451,0.4086591
Pontine crossing tract (a part of MCP),PCT,13.5723366737366,1
Genu of corpus callosum,GCC,21.0645656585693,9.999e-05
Body of corpus callosum,BCC,15.9381008148193,1
Splenium of corpus callosum,SCC,16.7834129333496,0.9853015
Fornix (column and body of fornix),FX,18.4306678771973,9.999e-05
Corticospinal tract left,CST-L,14.4947257041931,1
Corticospinal tract right,CST-R,15.7619862556458,1
Medial lemniscus left,ML-L,12.6055212020874,1
Medial lemniscus right,ML-R,18.9414005279541,9.999e-05
Inferior cerebellar peduncle left,ICP-L,17.4419975280762,0.00219978
Inferior cerebellar peduncle right,ICP-R,22.8716716766358,9.999e-05
Superior cerebellar peduncle left,SCP-L,15.6777157783508,1
Superior cerebellar peduncle right,SCP-R,22.5709953308105,9.999e-05
Cerebral peduncle left,CP-L,19.0220308303833,9.999e-05
Cerebral peduncle right,CP-R,21.7138204574585,9.999e-05
Anterior limb of internal capsule left,ALIC-L,17.3314609527588,9.999e-05
Anterior limb of internal capsule right,ALIC-R,10.7556004524231,1
Posterior limb of internal capsule left,PLIC-L,15.1348762512207,1
Posterior limb of internal capsule right,PLIC-R,19.2349319458008,9.999e-05
Retrolenticular part of internal capsule left,RLIC-L,17.5401573181152,9.999e-05
Retrolenticular part of internal capsule right,RLIC-R,14.9319000244141,1
Anterior corona radiata left,ACR-L,13.160101890564,1
Anterior corona radiata right,ACR-R,11.388991355896,1
Superior corona radiata left,SCR-L,15.0774569511414,1
Superior corona radiata right,SCR-R,15.6415390968323,1
Posterior corona radiata left,PCR-L,12.5020122528076,1
Posterior corona radiata right,PCR-R,13.4745259284973,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,17.5797328948975,9.999e-05
Posterior thalamic radiation (include optic radiation) right,PTR-R,17.0965366363525,0.01309869
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,21.329158782959,9.999e-05
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,18.8017120361328,9.999e-05
External capsule left,EC-L,10.9272022247314,1
External capsule right,EC-R,14.3173112869263,1
Cingulum (cingulate gyrus) left,CGC-L,13.5541834831238,1
Cingulum (cingulate gyrus) right,CGC-R,14.4993925094605,1
Cingulum (hippocampus) left,CGH-L,19.7060546875,9.999e-05
Cingulum (hippocampus) right,CGH-R,15.5728216171265,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,21.5620288848877,9.999e-05
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,14.0880470275879,1
Superior longitudinal fasciculus left,SLF-L,17.249870300293,9.999e-05
Superior longitudinal fasciculus right,SLF-R,22.7208633422852,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,23.4228210449219,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,15.3854026794434,1
Inferior fronto-occipital fasciculus left,IFO-L,11.1988945007324,1
Inferior fronto-occipital fasciculus right,IFO-R,15.3638305664063,1
Uncinate fasciculus left,UNC-L,20.9877834320068,9.999e-05
Uncinate fasciculus right,UNC-R,11.612114906311,1
Tapatum left,TAP-L,12.4740610122681,1
Tapatum right,TAP-R,15.98890209198,1
