WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,15.1584811210632,1
Pontine crossing tract (a part of MCP),PCT,13.293276309967,1
Genu of corpus callosum,GCC,21.7822246551514,9.999e-05
Body of corpus callosum,BCC,16.3159790039063,1
Splenium of corpus callosum,SCC,14.3194313049316,1
Fornix (column and body of fornix),FX,19.0078964233398,9.999e-05
Corticospinal tract left,CST-L,12.9839639663696,1
Corticospinal tract right,CST-R,15.9449491500855,1
Medial lemniscus left,ML-L,16.5384435653687,1
Medial lemniscus right,ML-R,19.5936298370361,9.999e-05
Inferior cerebellar peduncle left,ICP-L,20.6510362625122,9.999e-05
Inferior cerebellar peduncle right,ICP-R,22.4839353561401,9.999e-05
Superior cerebellar peduncle left,SCP-L,24.9917182922363,9.999e-05
Superior cerebellar peduncle right,SCP-R,29.5065202713013,9.999e-05
Cerebral peduncle left,CP-L,20.3270978927612,9.999e-05
Cerebral peduncle right,CP-R,20.0406513214111,9.999e-05
Anterior limb of internal capsule left,ALIC-L,14.7021284103394,1
Anterior limb of internal capsule right,ALIC-R,16.5002851486206,1
Posterior limb of internal capsule left,PLIC-L,17.7995071411133,0.00419958
Posterior limb of internal capsule right,PLIC-R,14.2648129463196,1
Retrolenticular part of internal capsule left,RLIC-L,17.3508148193359,0.950405
Retrolenticular part of internal capsule right,RLIC-R,17.8983058929443,0.0019998
Anterior corona radiata left,ACR-L,14.9305477142334,1
Anterior corona radiata right,ACR-R,16.1446552276611,1
Superior corona radiata left,SCR-L,14.0665373802185,1
Superior corona radiata right,SCR-R,19.1872892379761,9.999e-05
Posterior corona radiata left,PCR-L,16.18337059021,1
Posterior corona radiata right,PCR-R,11.9267616271973,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,17.5841684341431,0.3193681
Posterior thalamic radiation (include optic radiation) right,PTR-R,11.233989238739,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,25.3560657501221,9.999e-05
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,22.3569812774658,9.999e-05
External capsule left,EC-L,18.064151763916,9.999e-05
External capsule right,EC-R,19.3185796737671,9.999e-05
Cingulum (cingulate gyrus) left,CGC-L,14.9315409660339,1
Cingulum (cingulate gyrus) right,CGC-R,12.0507955551147,1
Cingulum (hippocampus) left,CGH-L,22.1740036010742,9.999e-05
Cingulum (hippocampus) right,CGH-R,19.5703220367432,9.999e-05
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,28.643256187439,9.999e-05
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,28.8246726989746,9.999e-05
Superior longitudinal fasciculus left,SLF-L,16.7456073760986,1
Superior longitudinal fasciculus right,SLF-R,22.6868305206299,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,9.80828857421875,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,15.0908899307251,1
Inferior fronto-occipital fasciculus left,IFO-L,18.9434566497803,9.999e-05
Inferior fronto-occipital fasciculus right,IFO-R,16.4492073059082,1
Uncinate fasciculus left,UNC-L,24.9556255340576,9.999e-05
Uncinate fasciculus right,UNC-R,27.4044017791748,9.999e-05
Tapatum left,TAP-L,15.9885206222534,1
Tapatum right,TAP-R,10.4435257911682,1
