WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,13.7539315223694,1
Pontine crossing tract (a part of MCP),PCT,18.1271295547485,0.0189981
Genu of corpus callosum,GCC,23.0575408935547,9.999e-05
Body of corpus callosum,BCC,17.7172336578369,0.9293071
Splenium of corpus callosum,SCC,16.0743751525879,1
Fornix (column and body of fornix),FX,8.76175689697266,1
Corticospinal tract left,CST-L,17.001033782959,1
Corticospinal tract right,CST-R,18.0162029266357,0.09379062
Medial lemniscus left,ML-L,20.5271282196045,9.999e-05
Medial lemniscus right,ML-R,20.4461193084717,9.999e-05
Inferior cerebellar peduncle left,ICP-L,17.1793479919434,0.9990001
Inferior cerebellar peduncle right,ICP-R,19.748706817627,9.999e-05
Superior cerebellar peduncle left,SCP-L,20.320276260376,9.999e-05
Superior cerebellar peduncle right,SCP-R,24.5660533905029,9.999e-05
Cerebral peduncle left,CP-L,21.7457437515259,9.999e-05
Cerebral peduncle right,CP-R,30.6420602798462,9.999e-05
Anterior limb of internal capsule left,ALIC-L,18.0569143295288,0.00879912
Anterior limb of internal capsule right,ALIC-R,16.3992958068848,1
Posterior limb of internal capsule left,PLIC-L,24.2857713699341,9.999e-05
Posterior limb of internal capsule right,PLIC-R,25.5122680664063,9.999e-05
Retrolenticular part of internal capsule left,RLIC-L,15.3757390975952,1
Retrolenticular part of internal capsule right,RLIC-R,16.5326385498047,1
Anterior corona radiata left,ACR-L,14.4950227737427,1
Anterior corona radiata right,ACR-R,14.260383605957,1
Superior corona radiata left,SCR-L,16.7537136077881,1
Superior corona radiata right,SCR-R,16.7513847351074,1
Posterior corona radiata left,PCR-L,14.0971012115479,1
Posterior corona radiata right,PCR-R,14.5956063270569,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,12.8125157356262,1
Posterior thalamic radiation (include optic radiation) right,PTR-R,16.4065265655518,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,15.358115196228,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,17.4536247253418,0.9953005
External capsule left,EC-L,13.4372143745422,1
External capsule right,EC-R,16.2958450317383,1
Cingulum (cingulate gyrus) left,CGC-L,20.7057266235352,9.999e-05
Cingulum (cingulate gyrus) right,CGC-R,17.9851531982422,0.05979402
Cingulum (hippocampus) left,CGH-L,17.7594814300537,0.5658434
Cingulum (hippocampus) right,CGH-R,11.8641347885132,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,11.3333106040955,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,13.9448165893555,1
Superior longitudinal fasciculus left,SLF-L,17.0746421813965,1
Superior longitudinal fasciculus right,SLF-R,21.6766719818115,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,24.278600692749,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,17.7151374816895,0.6052395
Inferior fronto-occipital fasciculus left,IFO-L,16.9106578826904,1
Inferior fronto-occipital fasciculus right,IFO-R,18.39231300354,9.999e-05
Uncinate fasciculus left,UNC-L,20.2081604003906,9.999e-05
Uncinate fasciculus right,UNC-R,16.1359796524048,1
Tapatum left,TAP-L,18.064679145813,0.1448855
Tapatum right,TAP-R,15.0068154335022,1
