WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,13.697793006897,1
Pontine crossing tract (a part of MCP),PCT,22.3572158813477,9.999e-05
Genu of corpus callosum,GCC,20.7301921844482,9.999e-05
Body of corpus callosum,BCC,14.9246129989624,1
Splenium of corpus callosum,SCC,16.0782222747803,1
Fornix (column and body of fornix),FX,17.3940334320068,1
Corticospinal tract left,CST-L,21.5312633514404,9.999e-05
Corticospinal tract right,CST-R,20.1358814239502,9.999e-05
Medial lemniscus left,ML-L,15.8994512557983,1
Medial lemniscus right,ML-R,15.0737371444702,1
Inferior cerebellar peduncle left,ICP-L,15.1644420623779,1
Inferior cerebellar peduncle right,ICP-R,15.3252215385437,1
Superior cerebellar peduncle left,SCP-L,14.5712223052979,1
Superior cerebellar peduncle right,SCP-R,16.8704023361206,1
Cerebral peduncle left,CP-L,16.1665992736816,1
Cerebral peduncle right,CP-R,20.6718654632568,9.999e-05
Anterior limb of internal capsule left,ALIC-L,19.6134452819824,9.999e-05
Anterior limb of internal capsule right,ALIC-R,28.6269645690918,9.999e-05
Posterior limb of internal capsule left,PLIC-L,20.8165197372437,9.999e-05
Posterior limb of internal capsule right,PLIC-R,27.1558408737183,9.999e-05
Retrolenticular part of internal capsule left,RLIC-L,19.3119678497314,9.999e-05
Retrolenticular part of internal capsule right,RLIC-R,13.2353858947754,1
Anterior corona radiata left,ACR-L,16.8678245544434,1
Anterior corona radiata right,ACR-R,19.4780950546265,9.999e-05
Superior corona radiata left,SCR-L,27.8208456039429,9.999e-05
Superior corona radiata right,SCR-R,25.7874212265015,9.999e-05
Posterior corona radiata left,PCR-L,18.6572132110596,0.1013899
Posterior corona radiata right,PCR-R,13.2298226356506,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,15.8920884132385,1
Posterior thalamic radiation (include optic radiation) right,PTR-R,15.954704284668,1
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,22.8962259292603,9.999e-05
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,10.9926376342773,1
External capsule left,EC-L,17.5727624893189,1
External capsule right,EC-R,16.6643047332764,1
Cingulum (cingulate gyrus) left,CGC-L,18.1617851257324,0.9946005
Cingulum (cingulate gyrus) right,CGC-R,10.9491395950317,1
Cingulum (hippocampus) left,CGH-L,17.4281005859375,1
Cingulum (hippocampus) right,CGH-R,12.8731412887573,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,17.0961036682129,1
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,10.980899810791,1
Superior longitudinal fasciculus left,SLF-L,18.9581432342529,9.999e-05
Superior longitudinal fasciculus right,SLF-R,15.0242595672607,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,26.2468852996826,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,36.3642654418945,9.999e-05
Inferior fronto-occipital fasciculus left,IFO-L,15.6545925140381,1
Inferior fronto-occipital fasciculus right,IFO-R,19.0457820892334,0.00029997
Uncinate fasciculus left,UNC-L,17.9705181121826,0.9360064
Uncinate fasciculus right,UNC-R,13.0065245628357,1
Tapatum left,TAP-L,14.9560313224792,1
Tapatum right,TAP-R,16.5730257034302,1
