WM tracts,Abbreviation,P value,PBonf.
Middle cerebellar peduncle,MCP,13.9819321632385,1
Pontine crossing tract (a part of MCP),PCT,13.3689332008362,1
Genu of corpus callosum,GCC,14.9087648391724,1
Body of corpus callosum,BCC,17.6043910980225,9.999e-05
Splenium of corpus callosum,SCC,13.2038354873657,1
Fornix (column and body of fornix),FX,18.2897911071777,9.999e-05
Corticospinal tract left,CST-L,14.8116016387939,1
Corticospinal tract right,CST-R,11.1745667457581,1
Medial lemniscus left,ML-L,11.6558561325073,1
Medial lemniscus right,ML-R,13.4398593902588,1
Inferior cerebellar peduncle left,ICP-L,16.733510017395,0.4975502
Inferior cerebellar peduncle right,ICP-R,15.5751347541809,1
Superior cerebellar peduncle left,SCP-L,20.2417306900024,9.999e-05
Superior cerebellar peduncle right,SCP-R,17.0874767303467,0.03549645
Cerebral peduncle left,CP-L,19.0532712936401,9.999e-05
Cerebral peduncle right,CP-R,17.0113039016724,0.01529847
Anterior limb of internal capsule left,ALIC-L,20.8512687683105,9.999e-05
Anterior limb of internal capsule right,ALIC-R,16.5051221847534,0.9808019
Posterior limb of internal capsule left,PLIC-L,32.718391418457,9.999e-05
Posterior limb of internal capsule right,PLIC-R,13.1708326339722,1
Retrolenticular part of internal capsule left,RLIC-L,17.5405921936035,9.999e-05
Retrolenticular part of internal capsule right,RLIC-R,18.4329051971436,9.999e-05
Anterior corona radiata left,ACR-L,9.70840358734131,1
Anterior corona radiata right,ACR-R,14.7930588722229,1
Superior corona radiata left,SCR-L,16.538423538208,0.9978002
Superior corona radiata right,SCR-R,16.9804363250732,0.00019998
Posterior corona radiata left,PCR-L,12.3287754058838,1
Posterior corona radiata right,PCR-R,13.8061590194702,1
Posterior thalamic radiation (include optic radiation) left,PTR-L,12.16672706604,1
Posterior thalamic radiation (include optic radiation) right,PTR-R,17.5086059570313,9.999e-05
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left,SS-L,20.8406133651733,9.999e-05
Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right,SS-R,14.362325668335,1
External capsule left,EC-L,15.6828842163086,1
External capsule right,EC-R,26.4647035598755,9.999e-05
Cingulum (cingulate gyrus) left,CGC-L,16.4467248916626,0.9871013
Cingulum (cingulate gyrus) right,CGC-R,12.3155288696289,1
Cingulum (hippocampus) left,CGH-L,14.3747849464417,1
Cingulum (hippocampus) right,CGH-R,18.5483951568604,9.999e-05
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left,FX/ST-L,19.0230484008789,9.999e-05
Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right,FX/ST-R,16.1284885406494,0.9995
Superior longitudinal fasciculus left,SLF-L,12.5885286331177,1
Superior longitudinal fasciculus right,SLF-R,16.091739654541,1
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left,SFO-L,23.3777561187744,9.999e-05
Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right,SFO-R,18.2466621398926,9.999e-05
Inferior fronto-occipital fasciculus left,IFO-L,19.2795715332031,9.999e-05
Inferior fronto-occipital fasciculus right,IFO-R,22.0603828430176,9.999e-05
Uncinate fasciculus left,UNC-L,22.0363798141479,9.999e-05
Uncinate fasciculus right,UNC-R,25.9623212814331,9.999e-05
Tapatum left,TAP-L,13.9724092483521,1
Tapatum right,TAP-R,18.7925462722778,9.999e-05
